5/10,Bronx Green Middle School,"2441 Wallace Avenue, Bronx, NY, 10467","Public district, 6-8",395
5/10,Ampark Neighborhood,"3961 Hillman Avenue, Bronx, NY, 10463","Public district, PK-5",390
5/10,Soundview Academy For Culture And Scholarship,"885 Bolton Avenue, Bronx, NY, 10473","Public district, 6-8",388
5/10,Mott Hall Community School,"650 Hollywood Avenue, Bronx, NY, 10465","Public district, 6-8",328
5/10,The Family School,"1116 Sheridan Avenue, Bronx, NY, 10456","Public district, PK-5",565
5/10,Sheridan Academy For Young Leaders,"1116 Sheridan Avenue, Bronx, NY, 10456","Public district, K-5",477
5/10,Emolior Academy,"1970 West Farms Road, Bronx, NY, 10460","Public district, 6-8",255
5/10,Nyc Charter High School Architecture Engineering Construc,"838 Brook Avenue, Bronx, NY, 10451","Public charter, 9-12",426
5/10,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,"180 West 165th Street, Bronx, NY, 10452","Public charter, K-9",525
5/10,Boys Prep Bronx Elementary School,"192 East 151 Street, Bronx, NY 10451, Bronx, NY, 10473","Public charter, PK-4",336
5/10,New Visions Charter HS-Adv Ma/Science II,"900 Tinton Avenue, Bronx, NY, 10456","Public charter, 9-12",549
5/10,Mount Eden Children's Academy,"1501 Jerome Avenue, Bronx, NY, 10452","Public district, PK-5",424
5/10,Bronx Park Middle School,"2441 Wallace Avenue, Bronx, NY, 10467","Public district, 6-8",401
5/10,Pelham Gardens Middle School,"2545 Gunther Avenue, Bronx, NY, 10469","Public district, 6-8",452
5/10,Lucero Elementary School,"1425 Walton Avenue, Bronx, NY, 10452","Public district, K-5",411
4/10,Ps 178 Dr Selman Waksman,"850 Baychester Avenue, Bronx, NY, 10475","Public district, K-5",437
4/10,Ps 279 Capt Manuel Rivera Jr,"2100 Walton Avenue, Bronx, NY, 10453","Public district, K-8","1,087"
4/10,Ps 37 Multiple Intelligence School,"360 West 230th Street, Bronx, NY, 10463","Public district, K-8",647
4/10,Ps 306,"40 West Tremont Avenue, Bronx, NY, 10453","Public district, K-5",695
4/10,Jhs 131 Albert Einstein,"885 Bolton Avenue, Bronx, NY, 10473","Public district, 6-8",454
4/10,Ps 33 Timothy Dwight,"2424 Jerome Avenue, Bronx, NY, 10468","Public district, PK-5",922
4/10,Ps 20 George J Werdan Iii,"3050 Webster Avenue, Bronx, NY, 10467","Public district, PK-8","1,069"
4/10,Ps 42 Claremont,"1537 Washington Avenue, Bronx, NY, 10457","Public district, PK-5",430
4/10,Ps 43 Jonas Bronck,"165 Brown Place, Bronx, NY, 10454","Public district, PK-5",478
4/10,Ps 65 Mother Hale Academy,"677 East 141st Street, Bronx, NY, 10454","Public district, PK-5",393
4/10,Ps 67 Mohegan School,"2024 Mohegan Avenue, Bronx, NY, 10460","Public district, PK-5",543
4/10,Ps 72 Dr William Dorney,"2951 Dewey Avenue, Bronx, NY, 10465","Public district, PK-5",832
4/10,Jhs 80 The Mosholu Parkway,"149 East Mosholu Parkway North, Bronx, NY, 10467","Public district, 6-8",690
4/10,Ps 95 Sheila Mencher,"3961 Hillman Avenue, Bronx, NY, 10463","Public district, K-8","1,289"
4/10,Ps 97,"1375 Mace Avenue, Bronx, NY, 10469","Public district, K-5",659
4/10,Ps 121 Throop,"2750 Throop Avenue, Bronx, NY, 10469","Public district, PK-5",920
4/10,Jhs 123 James M Kieran,"1025 Morrison Avenue, Bronx, NY, 10472","Public district, 6-8",418
4/10,Ps 126 Dr Marjorie H Dunbar,"175 West 166th Street, Bronx, NY, 10452","Public district, PK-5",571
4/10,Ps 130 Abram Stevens Hewitt,"750 Prospect Avenue, Bronx, NY, 10455","Public district, PK-5",496
4/10,Jhs 144 Michelangelo,"2545 Gunther Avenue, Bronx, NY, 10469","Public district, 6-8",491
4/10,Ps 154 Jonathan D Hyatt,"333 East 135th Street, Bronx, NY, 10454","Public district, PK-5",370
4/10,Ps 182,"601 Stickball Boulevard, Bronx, NY, 10473","Public district, PK-5",875
4/10,Is 318 Math Science And Tech Through Arts School,"1919 Prospect Avenue, Bronx, NY, 10457","Public district, 6-8",257
4/10,Ps 211,"1919 Prospect Avenue, Bronx, NY, 10457","Public district, PK-8",598
4/10,Ps 315 Lab School,"2865 Claflin Avenue, Bronx, NY, 10468","Public district, K-8",247
4/10,Is 232,"1700 Macombs Road, Bronx, NY, 10453","Public district, 6-8",486
4/10,Ps 159 Luis Mumoz Marin Biling,"2315 Washington Avenue, Bronx, NY, 10458","Public district, K-5",192
4/10,Ps 226,"1950 Sedgwick Avenue, Bronx, NY, 10453","Public district, PK-5",475
4/10,Ps 360,"2880 Kingsbridge Terrace, Bronx, NY, 10463","Public district, PK-5",486
4/10,Ps 179,"468 East 140th Street, Bronx, NY, 10454","Public district, PK-5",329
4/10,Ps 59 The Community School Of Technology,"2185 Bathgate Avenue, Bronx, NY, 10457","Public district, PK-5",576
4/10,Belmont Preperatory High School,"500 East Fordham Road, Bronx, NY, 10458","Public district, 9-12",400
