9/10,Abbey Lane School,"239 Gardiners Avenue, Levittown, NY, 11756","Public district, K-5",650
9/10,Northside School,"35 Pelican Road, Levittown, NY, 11756","Public district, K-5",539
9/10,Wisdom Lane Middle School,"120 Center Lane, Levittown, NY, 11756","Public district, 6-8",745
9/10,Locust Valley Middle School,"99 Horse Hollow Road, Locust Valley, NY, 11560","Public district, 6-8",492
9/10,Chatsworth Avenue School,"34 Chatsworth Avenue, Larchmont, NY, 10538","Public district, K-5",726
9/10,Manhasset Middle School,"200 Memorial Place, Manhasset, NY, 11030","Public district, 7-8",515
9/10,Manhasset Secondary School,"200 Memorial Place, Manhasset, NY, 11030","Public district, 9-12","1,125"
9/10,Munsey Park Elementary School,"1 Hunt Lane, Manhasset, NY, 11030","Public district, K-6",882
9/10,Fayetteville Manlius Senior High School,"8201 East Seneca Turnpike, Manlius, NY, 13104","Public district, 9-12","1,435"
9/10,K C Heffernan Elementary School,"2 Learners Landing, Marcellus, NY, 13108","Public district, K-3",415
9/10,Sanford H Calhoun High School,"1786 State Street, Merrick, NY, 11566","Public district, 9-12","1,274"
9/10,John F Kennedy High School,"3000 Bellmore Avenue, Bellmore, NY, 11710","Public district, 9-12","1,095"
9/10,Wellington C Mepham High School,"2401 Camp Avenue, North Bellmore, NY, 11710","Public district, 9-12","1,248"
9/10,Birch School,"2400 Central Parkway, Merrick, NY, 11566","Public district, K-6",511
9/10,New Hartford Senior High School,"33 Oxford Road, New Hartford, NY, 13413","Public district, 10-12",556
9/10,New Hyde Park Road School,"300 New Hyde Park Road, New Hyde Park, NY, 11040","Public district, K-6",538
9/10,Manhattan Village Academy,"43 West 22nd Street, New York, NY, 10010","Public district, 9-12",455
9/10,Ps 290 Manhattan New School,"311 East 82nd Street, New York, NY, 10028","Public district, PK-5",628
9/10,I.S. 187 The Christa Mcauliffe School,"1171 65th Street, Brooklyn, NY, 11219","Public district, 6-8",874
9/10,Is 7 Elias Bernstein,"1270 Huguenot Avenue, Staten Island, NY, 10312","Public district, 6-8","1,166"
9/10,Is 25 Adrien Block,"34-65 192nd Street, Queens, NY, 11358","Public district, 6-8","1,027"
9/10,Is 34 Tottenville,"528 Academy Avenue, Staten Island, NY, 10307","Public district, 6-8","1,090"
9/10,Is 237,"46-21 Colden Street, Queens, NY, 11355","Public district, 6-8","1,363"
9/10,Ps 9 Sarah Anderson,"100 West 84th Street, New York, NY, 10024","Public district, PK-5",618
9/10,Ps 11 Purvis J Behan,"419 Waverly Avenue, Brooklyn, NY, 11238","Public district, PK-5",893
9/10,Ps 23 Richmondtown,"30 Natick Street, Staten Island, NY, 10306","Public district, PK-5",562
9/10,Ps 24 Andrew Jackson,"45-57 Union Street, Queens, NY, 11355","Public district, K-5","1,068"
9/10,Ps 26 The Carteret School,"4108 Victory Boulevard, Staten Island, NY, 10314","Public district, PK-5",264
9/10,Ps 26 Rufus King,"195-02 69th Avenue, Queens, NY, 11365","Public district, PK-5",705
9/10,P.S. 41 Greenwich Village,"116 West 11th Street, New York, NY, 10011","Public district, PK-5",692
9/10,Ps 42 Benjamin Altman,"71 Hester Street, New York, NY, 10002","Public district, PK-5",655
9/10,Ps 47 Chris Galas,"9 Power Road, Queens, NY, 11693","Public district, PK-8",218
9/10,Ps 58 The Carroll,"330 Smith Street, Brooklyn, NY, 11231","Public district, PK-5",988
9/10,Jhs 74 Nathaniel Hawthorne,"61-15 Oceania Street, Queens, NY, 11364","Public district, 6-8","1,157"
9/10,Ps 87 William Sherman,"160 West 78th Street, New York, NY, 10024","Public district, PK-5",881
9/10,Ps 100 The Coney Island School,"2951 West 3rd Street, Brooklyn, NY, 11224","Public district, PK-5",793
9/10,P.S. 101 the Verrazano,"2360 Benson Avenue, Brooklyn, NY, 11214","Public district, K-5",865
9/10,Ps 113 Isaac Chauncey,"78-23 87th Street, Queens, NY, 11385","Public district, K-8",895
9/10,P.S. 115 Glen Oaks,"80-51 261st Street, Queens, NY, 11004","Public district, PK-5",704
9/10,Ps 124 Yung Wing,"40 Division Street, New York, NY, 10002","Public district, PK-5",725
9/10,"P.S. 128 the Lorraine Tuzzo, Juniper Valley Elementary School","69-10 65th Drive, Queens, NY, 11379","Public district, K-8",970
9/10,Ps 133,"248-5 86th Avenue, Queens, NY, 11426","Public district, PK-5",555
9/10,Is 141 The Steinway,"37-11 21st Avenue, Queens, NY, 11105","Public district, 6-8","1,111"
9/10,Jhs 157 Stephen A Halsey,"63-55 102nd Street, Queens, NY, 11374","Public district, 6-9","1,632"
9/10,Ms 158 Marie Curie,"46-35 Oceania Street, Queens, NY, 11361","Public district, 6-8","1,058"
9/10,P.S. 158 Baylard Taylor,"1458 York Avenue, New York, NY, 10075","Public district, PK-5",787
9/10,Ps 159,"205-01 33rd Avenue, Queens, NY, 11361","Public district, PK-5",680
9/10,Ps 162 John Golden,"201-2 53rd Avenue, Queens, NY, 11364","Public district, PK-5",676
9/10,Ps 163 Flushing Heights,"159-01 59th Avenue, Queens, NY, 11365","Public district, PK-5",800
9/10,Ps 171 Patrick Henry,"19 East 103rd Street, New York, NY, 10029","Public district, PK-8",722
9/10,Irwin Altman Middle School 172,"81-14 257th Street, Floral Park, NY, 11004","Public district, 6-8",983
9/10,Ps 173 Fresh Meadow,"174-10 67th Avenue, Queens, NY, 11365","Public district, PK-5",949
9/10,Jhs 185 Edward Bleeker,"147-26 25th Drive, Queens, NY, 11354","Public district, 6-8","1,523"
9/10,Ps 188 Kingsbury,"218-12 Hartland Avenue, Queens, NY, 11364","Public district, PK-5",731
9/10,Ps 195 Manhattan Beach,"131 Irwin Street, Brooklyn, NY, 11235","Public district, PK-5",479
