,school,rating,type,students,grades,city,zip
2390,Esmt Is 190,5,Public district,243, 6-8, Bronx, 10460
2391,Bronx High School for Medical Science,5,Public district,432, 6-12, Bronx, 10457
2392,Marble Hill High School of International Studies,5,Public district,439, 9-12, New York, 10463
2393,Manhattan Bridges High School,5,Public district,513, 9-12, New York, 10019
2394,Ps 83 Luis Munoz Rivera,5,Public district,433, PK-5, New York, 10029
2395,Harlem Village Academy West Charter,5,Public charter,932, K-12, New York, 10027
2396,The Celia Cruz Bronx High School of Music,5,Public district,426, 9-12, Bronx, 10468
2397,Discovery High School,5,Public district,451, 9-12, Bronx, 10468
2398,Ps 28 The Warren Prep Academy,5,Public district,131, PK-5, Brooklyn, 11233
2399,Ps 239,5,Public district,557, PK-5, Queens, 11385
2400,Information Technology High School,5,Public district,999, 9-12, Queens, 11101
2401,Ps 234,5,Public district,516, PK-5, Queens, 11102
2402,Syracuse Academy of Science Charter School,5,Public charter,950, K-12, Syracuse, 13204
2403,Cincinnatus Middle School,5,Public district,167, 5-8, Cincinnatus, 13040
2404,East Irondequoit Middle School,5,Public district,646, 6-8, Irondequoit, 14609
2405,Canal View Elementary School,5,Public district,517, K-5, Spencerport, 14559
2406,Yonkers Middle School,5,Public district,604, 6-8, Yonkers, 10705
2407,Thurgood Marshall Academy Lower School,5,Public district,221, K-5, New York, 10039
2408,Middle School 322,5,Public district,302, 6-8, New York, 10040
2409,Kappa,5,Public district,317, 6-8, Bronx, 10456
2410,Buffalo Academy of Science Charter School,5,Public charter,616, K, Buffalo, 14202
2411,Western New York Maritime Charter School,5,Public charter,443, 7-12, Buffalo, 14204
2412,Frankfort Schuyler Middle School,5,Public district,220, 6-8, Frankfort, 13340
2413,Harlem Village Academy Leadership Middle School,5,Public charter,820, K-12, New York, 10027
2414,Amistad Dual Language School,5,Public district,391, K-8, New York, 10034
2415,Ms 324 Patria Mirabal,5,Public district,392, 6-8, New York, 10032
2416,New Heights Academy Charter School,5,Public charter,755, 5-12, New York, 10031
2417,South Bronx Preparatory A College Board School,5,Public district,661, 6-12, Bronx, 10454
2418,Bronx Lighthouse Charter School,5,Public charter,649, K-12, Bronx, 10459
2419,Comprehensive Model School Project Ms 327,5,Public district,736, 6-12, Bronx, 10452
2420,Riverdale Kingsbridge Academy (Ms High School 141),5,Public district,"1,516", 6-12, Bronx, 10463
2421,Accion Academy,5,Public district,152, 6-8, Bronx, 10459
2422,Bronx Latin School,5,Public district,576, 6-12, Bronx, 10456
2423,Urban Assembly School For Law And Justice,5,Public district,450, 9-12, Brooklyn, 11201
2424,Ms 582,5,Public district,260, 6-8, Brooklyn, 11206
2425,Williamsburg High School for Architecture and Design,5,Public district,570, 9-12, Brooklyn, 11211
2426,Williamsburg Preparatory School,5,Public district,683, 9-12, Brooklyn, 11211
2427,Elijah Stroud Middle School,5,Public district,143, 6-8, Brooklyn, 11238
2428,Channel View School For Research,5,Public district,886, 6-12, Queens, 11694
2429,Peninsula Preparatory Academy Charter School,5,Public charter,319, PK-5, Queens, 11691
2430,Royalton Hartland Middle School,5,Public district,361, 5-8, Middleport, 14105
2431,Fieldstone Secondary School,5,Public district,"1,285", 7-8, Thiells, 10984
2432,Canisteo Greenwood Elementary School,5,Public district,610, PK-7, Canisteo, 14823
2433,Marlboro Elementary School,5,Public district,838, K-5, Marlboro, 12542
2434,Eugene Brooks Middle School,5,Public district,276, 4-8, Amenia, 12501
2435,True North Rochester Preparatory Charter School,5,Public charter,"1,112", K-12, Rochester, 14619
2436,Bronx Center For Science And Mathematics,5,Public district,461, 9-12, Bronx, 10456
2437,Bronx Green Middle School,5,Public district,395, 6-8, Bronx, 10467
2438,Frederick Doughlass Academy Viii Middle School,5,Public district,338, 6-8, Brooklyn, 11239
2439,Ps 506 The School Of Journalism And Technology,5,Public district,804, K-5, Brooklyn, 11220
2440,Kappa Vi,5,Public district,265, 6-8, Queens, 11691
2441,High School Construction Trades Engineering And Arc,5,Public district,"1,026", 9-12, Queens, 11416
2442,Preparatory Academy for Writers: A College Board School,5,Public district,578, 6-12, Queens, 11413
2443,Ampark Neighborhood,5,Public district,390, PK-5, Bronx, 10463
2444,It Takes A Village Academy,5,Public district,711, 9-12, Brooklyn, 11203
2445,Lower East Side Preparatory High School,5,Public district,500, 9-12, New York, 10002
2446,Lasalle Preparatory School,5,Public district,554, 7-8, Niagara Falls, 14304
2447,Shatekon Elementary School,5,Public district,557, K-5, Clifton Park, 12065
2448,Yorkville Community School,5,Public district,513, PK-5, New York, 10128
2449,Soundview Academy For Culture And Scholarship,5,Public district,388, 6-8, Bronx, 10473
2450,Mott Hall Community School,5,Public district,328, 6-8, Bronx, 10465
2451,The Family School,5,Public district,565, PK-5, Bronx, 10456
2452,Sheridan Academy For Young Leaders,5,Public district,477, K-5, Bronx, 10456
2453,Emolior Academy,5,Public district,255, 6-8, Bronx, 10460
2454,Young Women's Leadership School of Brooklyn,5,Public district,407, 6-12, Brooklyn, 11206
2455,The Science And Medicine Middle School,5,Public district,394, 6-8, Brooklyn, 11236
2456,Pioneer Academy,5,Public district,933, K-5, Queens, 11368
2457,Waterside Children S Studio School,5,Public district,500, PK-5, Queens, 11694
2458,Robert H Goddard High School For Community Arts 7 And T,5,Public district,620, 9-12, Queens, 11417
2459,Queens Collegiate A College Board School,5,Public district,670, 6-12, Queens, 11432
2460,Gaynor Mccown Expeditionary Learning School,5,Public district,439, 9-12, Staten Island, 10314
2461,Expeditionary Learning Middle School,5,Public district,200, 6-8, Syracuse, 13205
2462,Unatego Middle School,5,Public district,189, 6-8, Otego, 13825
2463,Milton Terrace North Elementary School,5,Public district,455, K-5, Ballston Spa, 12020
2464,Nyc Charter High School Architecture Engineering Construc,5,Public charter,426, 9-12, Bronx, 10451
2465,CITY KNOLL MIDDLE SCHOOL,5,Public district,237, 6-8, New York, 10001
2466,La Cima Charter School,5,Public charter,360, K-5, 3rd Floor, NY
2467,Explore Empower Charter School,5,Public charter,522, K-8, Brooklyn, 11213
2468,Hebrew Language Academy,5,Public charter,728, K-8, Brooklyn, 11234
2469,John W Lavelle Preparatory Charter School,5,Public charter,697, 3-12, Staten Island, 10311
2470,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,5,Public charter,525, K-9, Bronx, 10452
2471,Mott Hall Bridges Academy,5,Public district,199, 6-8, Brooklyn, 11212
2472,Ps 971,5,Public district,357, K-5, Brooklyn, 11220
2473,Bedford Stuyvesant New Beginnings Charter School,5,Public charter,678, K-8, Brooklyn, 11206
2474,Inwood Academy For Leadership Charter School,5,Public charter,892, 5-12, New York, 10034
2475,Metropolitan Expeditionary Learning School,5,Public district,841, 6-12, Queens, 11374
2476,Invictus Preparatory Charter School,5,Public charter,260, 5-8, 3rd Floor, NY
2477,Jamaica Gateway To The Sciences,5,Public district,510, 9-12, Queens, 11432
2478,Oppenheim-Ephratah-St. Johnsville Elementary School,5,Public district,438, PK-6, Saint Johnsville, 13452
2479,Teaching Firms of America Pro Prep,5,Public charter,463, K-7, Brooklyn, 11221
2480,Germantown Elementary School,5,Public district,308, PK-6, Germantown, 12526
2481,East Harlem Scholars Academy Charter School II,5,Public charter,341, K-5, New York, 10029
2482,Teachers College Community School,5,Public district,285, PK-6, New York, 10027
2483,Boys Prep Bronx Elementary School,5,Public charter,336, PK-4, Bronx, Bronx
2484,New Visions Charter HS-Adv Ma/Science II,5,Public charter,549, 9-12, Bronx, 10456
