,school,rating,type,students,grades,city,zip
65,Chango Elementary School,10,Public district,541, K-5, Ballston Lake, 12019
66,Baylis Elementary School,10,Public district,450, K-5, Plainview, 11803
67,Berry Hill Elementary School,10,Public district,394, K-5, Syosset, 11791
68,South Grove Elementary School,10,Public district,456, K-5, Syosset, 11791
69,Mandalay School,10,Public district,262, K-5, Wantagh, 11793
70,Ps 77 Lower Lab School,10,Public district,357, K-5, New York, 10128
71,Ms 255 Salk School Of Science,10,Public district,387, 6-8, New York, 10003
72,East Side Middle School,10,Public district,449, 6-8, New York, 10128
73,Queens College School For Math Science And Techno,10,Public district,496, PK-8, Queens, 11367
74,Staten Island Technical High School,10,Public district,"1,320", 9-12, Staten Island, 10306
75,Eleanor Roosevelt High School,10,Public district,538, 9-12, New York, 10021
76,Millennium High School,10,Public district,668, 9-12, New York, 10004
77,Ballet Tech Nyc Ps For Dance,10,Public district,139, 4-8, New York, 10003
78,High School Of American Studies At Lehman College,10,Public district,399, 9-12, Bronx, 10468
79,Queens High School For The Sciences At York Colleg,10,Public district,474, 9-12, Queens, 11433
80,The Math And Science Exploratory School,10,Public district,524, 6-8, Brooklyn, 11217
81,New Voices School Of Academic And Creative Arts,10,Public district,569, 6-8, Brooklyn, 11215
82,High School For Dual Language And Asian Studies,10,Public district,396, 9-12, New York, 10002
83,Tag Young Scholars,10,Public district,576, K-8, New York, 10029
84,Brooklyn Latin School,10,Public district,681, 9-12, Brooklyn, 11206
85,Icahn Charter School 2,10,Public charter,320, K-8, Bronx, 10462
86,High School Math Science And Engineering At Ccny,10,Public district,500, 9-12, New York, 10031
87,Battery Park City School,10,Public district,822, K-8, New York, 10280
88,Spruce Street School,10,Public district,539, PK-8, New York, 10038
89,The Active Learning Elementary School,10,Public district,460, PK-3, Queens, 11355
90,Success Academy Charter School-Harlem 2,10,Public charter,755, K-4, New York, 10035
91,Success Academy Bronx 2,10,Public charter,789, K-8, Bronx, 10456
92,Ps 748 Brooklyn School For Global Scholars,10,Public district,546, K-5, Brooklyn, 11214
93,Ps 452,10,Public district,329, PK-5, New York, 10023
94,"East Side Elementary School, PS 267",10,Public district,397, K-5, New York, 10065
95,Success Academy Bed-Stuy 2,10,Public charter,342, K-6, Brooklyn, 11206
96,Success Academy Williamsburg,10,Public charter,475, K-4, Brooklyn, 11211
97,P.S. 527 East Side School-Social Actio,10,Public district,384, K-5, New York, 10128
98,Success Academy Hell's Kitchen,10,Public charter,481, K-4, New York, 10019
99,Icahn Charter School 5,10,Public charter,314, K-8, Bronx, 10461
100,Success Acad Charter School-Brooklyn 6,10,Public charter,529, K-6, Brooklyn, 11216
101,Success Academy Bensonhurst,10,Public charter,494, K-4, Brooklyn, 11204
102,Success Academy Charter - Washington Hgts,10,Public charter,517, K-4, New York, 10040
103,Success Academy Bronx 4,10,Public charter,524, K-4, Bronx, 10473
104,Success Academy Bergen Beach,10,Public charter,424, K-4, Brooklyn, 11234
105,Success Academy Rosedale,10,Public charter,505, K-4, Queens, 11422
106,Westorchard School,10,Public district,413, K-4, Chappaqua, 10514
107,Mcvey Elementary School,10,Public district,710, K-5, East Meadow, 11554
108,Willets Road School,10,Public district,393, 5-7, Roslyn Heights, 11577
109,Greenvale School,10,Public district,574, 2-5, Scarsdale, 10583
110,John Lewis Childs School,9,Public district,660, PK-6, Floral Park, 11001
111,John Street School,9,Public district,484, PK-6, Franklin Square, 11010
112,Garden City Middle School,9,Public district,931, 6-8, Garden City, 11530
113,Stratford Avenue School,9,Public district,568, 2-5, Garden City, 11530
114,E M Baker School,9,Public district,661, K-5, Great Neck, 11023
115,Great Neck North High School,9,Public district,"1,134", 9-12, Great Neck, 11023
116,Great Neck South Middle School,9,Public district,781, 6-8, Lake Success, 11020
117,Lakeville Elementary School,9,Public district,746, 1-5, Great Neck, 11020
118,Greenwood Lake Middle School,9,Public district,292, 4-8, Monroe, 10950
119,Half Hollow Hills High School East,9,Public district,"1,725", 9-12, Dix Hills, 11746
120,Hauppauge High School,9,Public district,"1,209", 9-12, Hauppauge, 11788
121,Denton Avenue School,9,Public district,663, K-5, New Hyde Park, 11040
122,Herricks High School,9,Public district,"1,334", 9-12, New Hyde Park, 11040
123,Herricks Middle School,9,Public district,937, 6-8, Albertson, 11507
124,Honeoye Falls Lima Senior High School,9,Public district,752, 9-12, Honeoye Falls, 14472
125,Dake Junior High School,9,Public district,545, 7-8, Irondequoit, 14617
126,Cantiague Elementary School,9,Public district,396, K-5, Jericho, 11753
127,John Jay High School,9,Public district,"1,059", 9-12, South Salem, 10590
128,Thomas Jefferson Elementary School,9,Public district,480, K-5, Yorktown Heights, 10598
129,Hillview Elementary School,9,Public district,508, K-3, Lancaster, 14086
130,Abbey Lane School,9,Public district,650, K-5, Levittown, 11756
131,Northside School,9,Public district,539, K-5, Levittown, 11756
132,Wisdom Lane Middle School,9,Public district,745, 6-8, Levittown, 11756
133,Locust Valley Middle School,9,Public district,492, 6-8, Locust Valley, 11560
134,Chatsworth Avenue School,9,Public district,726, K-5, Larchmont, 10538
135,Manhasset Middle School,9,Public district,515, 7-8, Manhasset, 11030
136,Manhasset Secondary School,9,Public district,"1,125", 9-12, Manhasset, 11030
137,Munsey Park Elementary School,9,Public district,882, K-6, Manhasset, 11030
138,Fayetteville Manlius Senior High School,9,Public district,"1,435", 9-12, Manlius, 13104
139,K C Heffernan Elementary School,9,Public district,415, K-3, Marcellus, 13108
140,Sanford H Calhoun High School,9,Public district,"1,274", 9-12, Merrick, 11566
141,John F Kennedy High School,9,Public district,"1,095", 9-12, Bellmore, 11710
142,Wellington C Mepham High School,9,Public district,"1,248", 9-12, North Bellmore, 11710
143,Birch School,9,Public district,511, K-6, Merrick, 11566
144,New Hartford Senior High School,9,Public district,556, 10-12, New Hartford, 13413
145,New Hyde Park Road School,9,Public district,538, K-6, New Hyde Park, 11040
146,Manhattan Village Academy,9,Public district,455, 9-12, New York, 10010
147,Ps 290 Manhattan New School,9,Public district,628, PK-5, New York, 10028
148,I.S. 187 The Christa Mcauliffe School,9,Public district,874, 6-8, Brooklyn, 11219
149,Is 7 Elias Bernstein,9,Public district,"1,166", 6-8, Staten Island, 10312
150,Is 25 Adrien Block,9,Public district,"1,027", 6-8, Queens, 11358
151,Is 34 Tottenville,9,Public district,"1,090", 6-8, Staten Island, 10307
152,Is 237,9,Public district,"1,363", 6-8, Queens, 11355
153,Ps 9 Sarah Anderson,9,Public district,618, PK-5, New York, 10024
154,Ps 11 Purvis J Behan,9,Public district,893, PK-5, Brooklyn, 11238
155,Ps 23 Richmondtown,9,Public district,562, PK-5, Staten Island, 10306
156,Ps 24 Andrew Jackson,9,Public district,"1,068", K-5, Queens, 11355
157,Ps 26 The Carteret School,9,Public district,264, PK-5, Staten Island, 10314
158,Ps 26 Rufus King,9,Public district,705, PK-5, Queens, 11365
159,P.S. 41 Greenwich Village,9,Public district,692, PK-5, New York, 10011
160,Ps 42 Benjamin Altman,9,Public district,655, PK-5, New York, 10002
161,Ps 47 Chris Galas,9,Public district,218, PK-8, Queens, 11693
162,Ps 58 The Carroll,9,Public district,988, PK-5, Brooklyn, 11231
163,Jhs 74 Nathaniel Hawthorne,9,Public district,"1,157", 6-8, Queens, 11364
164,Ps 87 William Sherman,9,Public district,881, PK-5, New York, 10024
165,Ps 100 The Coney Island School,9,Public district,793, PK-5, Brooklyn, 11224
166,P.S. 101 the Verrazano,9,Public district,865, K-5, Brooklyn, 11214
167,Ps 113 Isaac Chauncey,9,Public district,895, K-8, Queens, 11385
168,P.S. 115 Glen Oaks,9,Public district,704, PK-5, Queens, 11004
169,Ps 124 Yung Wing,9,Public district,725, PK-5, New York, 10002
170,"P.S. 128 the Lorraine Tuzzo, Juniper Valley Elementary School",9,Public district,970, K-8, Queens, 11379
171,Ps 133,9,Public district,555, PK-5, Queens, 11426
172,Is 141 The Steinway,9,Public district,"1,111", 6-8, Queens, 11105
173,Jhs 157 Stephen A Halsey,9,Public district,"1,632", 6-9, Queens, 11374
174,Ms 158 Marie Curie,9,Public district,"1,058", 6-8, Queens, 11361
175,P.S. 158 Baylard Taylor,9,Public district,787, PK-5, New York, 10075
176,Ps 159,9,Public district,680, PK-5, Queens, 11361
177,Ps 162 John Golden,9,Public district,676, PK-5, Queens, 11364
178,Ps 163 Flushing Heights,9,Public district,800, PK-5, Queens, 11365
179,Ps 171 Patrick Henry,9,Public district,722, PK-8, New York, 10029
180,Irwin Altman Middle School 172,9,Public district,983, 6-8, Floral Park, 11004
181,Ps 173 Fresh Meadow,9,Public district,949, PK-5, Queens, 11365
182,Jhs 185 Edward Bleeker,9,Public district,"1,523", 6-8, Queens, 11354
183,Ps 188 Kingsbury,9,Public district,731, PK-5, Queens, 11364
184,Ps 195 Manhattan Beach,9,Public district,479, PK-5, Brooklyn, 11235
185,Ps 199 Jessie Isador Straus,9,Public district,851, K-5, New York, 10023
186,Ps 213 The Carl Ullman School,9,Public district,466, PK-5, Queens, 11364
187,Ps 214 Cadwallader Colden,9,Public district,537, PK-5, Queens, 11354
188,Ps 229 Dyker,9,Public district,"1,249", PK-8, Brooklyn, 11228
189,Jhs 234 Arthur W Cunningham,9,Public district,"1,909", 6-8, Brooklyn, 11229
190,Ps 235 Lenox School,9,Public district,"1,253", PK-8, Brooklyn, 11203
191,Ps 236 Mill Basin,9,Public district,552, PK-5, Brooklyn, 11234
192,Mark Twain is 239 for the Gifted and Talented,9,Public district,"1,323", 6-8, Brooklyn, 11224
193,Ps 247,9,Public district,873, K-5, Brooklyn, 11204
194,Ps 249 The Caton,9,Public district,873, PK-5, Brooklyn, 11226
195,Jhs 259 William Mckinley,9,Public district,"1,858", 6-8, Brooklyn, 11228
196,Ps 277 Gerritsen Beach,9,Public district,418, PK-5, Brooklyn, 11229
197,"New Explorations Into Science, Tech and Math High School",9,Public district,"1,729", K-12, New York, 10002
198,Is 5 The Walter Crowley Intermediate School,9,Public district,"1,796", 6-8, Queens, 11373
199,P.S. 78,9,Public district,704, PK-8, Queens, 11109
200,Is 289,9,Public district,283, 6-8, New York, 10282
201,"Fiorello H Laguardia High School of Music, Art and Performing Arts",9,Public district,"2,819", 9-12, New York, 10023
202,The Mott Hall School,9,Public district,292, 6-8, New York, 10027
203,Is 75 Frank D Paulo,9,Public district,"1,368", 6-8, Staten Island, 10312
204,P.S. 130,9,Public district,396, PK-4, Queens, 11361
205,Errick Road Elementary School,9,Public district,502, K-5, North Tonawanda, 14120
206,Bellerose Elementary School,9,Public district,301, K-5, East Northport, 11731
207,Norwood Avenue School,9,Public district,324, K-5, Fort Salonga, 11768
208,Orchard Park High School,9,Public district,"1,518", 9-12, Orchard Park, 14127
209,Lincoln Avenue School,9,Public district,210, K-4, Pearl River, 10965
210,Colonial School,9,Public district,323, K-5, Village of Pelham, 10803
211,Siwanoy School,9,Public district,284, K-5, Pelham Manor, 10803
212,Penfield Senior High School,9,Public district,"1,435", 9-12, Penfield, 14526
213,Scribner Road Elementary School,9,Public district,540, K-5, Penfield, 14526
214,Jefferson Road School,9,Public district,365, K-5, Pittsford, 14534
215,Park Road School,9,Public district,430, K-5, Pittsford, 14534
216,Pittsford Sutherland High School,9,Public district,955, 9-12, Pittsford, 14534
217,Thornell Road School,9,Public district,390, K-5, Pittsford, 14534
218,Barker Road Middle School,9,Public district,715, 6-8, Pittsford, 14534
219,Stratford Road School,9,Public district,515, K-4, Plainview, 11803
220,H B Mattlin Middle School,9,Public district,742, 5-8, Plainview, 11803
221,Old Bethpage School,9,Public district,390, K-4, Old Bethpage, 11804
222,Plainview Old Bethpage Jfk High School,9,Public district,"1,600", 9-12, Plainview, 11803
223,Pleasantville High School,9,Public district,592, 9-12, Pleasantville, 10570
224,Bruno M Ponterio Ridge Street School,9,Public district,605, K-5, Rye Brook, 10573
225,Hewitt School,9,Public district,454, K-5, Rockville Centre, 11570
226,Watson School,9,Public district,288, K-5, Rockville Centre, 11570
227,William S Covert School,9,Public district,294, K-5, South Hempstead, 11550
228,East Hills Elementary School,9,Public district,512, 2-5, Roslyn Heights, 11577
229,Roslyn High School,9,Public district,"1,038", 8-12, Roslyn Heights, 11577
230,Milton School,9,Public district,397, K-5, Rye, 10580
231,Rye High School,9,Public district,"1,002", 9-12, Rye, 10580
232,Rye Middle School,9,Public district,819, 6-8, Rye, 10580
233,Quaker Ridge School,9,Public district,471, K-5, Scarsdale, 10583
234,Scarsdale Middle School,9,Public district,"1,148", 6-8, Scarsdale, 10583
235,North Shore Senior High School,9,Public district,881, 9-12, Glen Head, 11545
236,Acadia Middle School,9,Public district,787, 6-8, Clifton Park, 12065
237,Koda Middle School,9,Public district,783, 6-8, Clifton Park, 12065
238,Skaneateles Middle School,9,Public district,323, 6-8, Skaneateles, 13152
239,Skaneateles Senior High School,9,Public district,491, 9-12, Skaneateles, 13152
240,State Street Intermediate School,9,Public district,285, 3-5, Skaneateles, 13152
241,Smithtown High School West,9,Public district,"1,662", 9-12, Smithtown, 11787
242,Starpoint High School,9,Public district,831, 9-12, Lockport, 14094
243,Minnesauke Elementary School,9,Public district,593, K-6, Setauket- East Setauket, 11733
244,Nassakeag Elementary School,9,Public district,551, K-6, Setauket- East Setauket, 11733
245,Setauket Elementary School,9,Public district,623, K-6, Setauket- East Setauket, 11733
246,Willits Elementary School,9,Public district,336, K-5, Syosset, 11791
247,Robbins Lane Elementary School,9,Public district,457, K-5, Syosset, 11791
248,South Woods Middle School,9,Public district,728, 6-8, Syosset, 11791
249,Syosset Senior High School,9,Public district,"2,108", 9-12, Syosset, 11791
250,Walt Whitman Elementary School,9,Public district,281, K-5, Woodbury, 11797
251,George Grant Mason Elementary School,9,Public district,130, K-6, Tuxedo Park, 10987
252,African Road Elementary School,9,Public district,263, K-5, Vestal, 13850
253,Vestal Hills Elementary School,9,Public district,339, K-5, Vestal, 13850
254,Victor Senior High School,9,Public district,"1,386", 9-12, Victor, 14564
255,Clayton A Bouton High School,9,Public district,379, 9-12, Voorheesville, 12186
256,Wantagh Senior High School,9,Public district,935, 9-12, Wantagh, 11793
257,Transit Middle School,9,Public district,985, 5-8, East Amherst, 14051
258,Williamsville East High School,9,Public district,"1,009", 9-12, East Amherst, 14051
259,Patricia A Dichiaro School,9,Public district,558, PK-8, Yonkers, 10708
260,PEARLS Hawthorne,9,Public district,881, PK-8, Yonkers, 10705
261,Yorktown High School,9,Public district,"1,164", 9-12, Yorktown Heights, 10598
262,Ps 184 Shuang Wen,9,Public district,682, PK-8, New York, 10002
263,Ms 243 Center School,9,Public district,235, 5-8, New York, 10024
264,Ms 245 The Computer School,9,Public district,400, 6-8, New York, 10024
265,Ps 134,9,Public district,566, K-5, Brooklyn, 11218
266,Ps 212 Midtown West,9,Public district,368, PK-5, New York, 10036
267,Great Hollow Middle School,9,Public district,977, 6-8, Nesconset, 11767
268,Is 230,9,Public district,"1,291", 6-8, Queens, 11372
269,Ps 242 Leonard P Stavisky Early Childhood School,9,Public district,394, PK-3, Queens, 11354
270,Thomas High School,9,Public district,"1,329", 9-12, Webster, 14580
271,Lower Manhattan Community Middle School,9,Public district,383, 6-8, New York, 10004
272,Ps 304 Early Childhood School,9,Public district,506, PK-5, Bronx, 10465
273,Mills Pond Elementary School,9,Public district,403, K-5, Saint James, 11780
274,Nyc Lab Ms For Collaborative Studies,9,Public district,554, 6-8, New York, 10011
275,Manhattan/Hunter Science High School,9,Public district,441, 9-12, New York, 10023
276,Ps Is 266,9,Public district,644, PK-8, Queens, 11426
277,Seven Bridges Middle School,9,Public district,587, 5-8, Mount Kisco, 10549
278,The Anderson School,9,Public district,539, K-8, New York, 10024
279,Bard High School Early College,9,Public district,589, 9-12, New York, 10002
280,The School Of Integrated Learning,9,Public district,261, 6-8, Brooklyn, 11213
281,Baruch College Campus High School,9,Public district,459, 9-12, New York, 10010
282,Mott Hall Ii,9,Public district,341, 6-8, New York, 10025
283,Muscota,9,Public district,292, K-5, New York, 10034
284,Scholars Academy,9,Public district,"1,375", 6-12, Queens, 11694
285,School For Inquiry And Social Justice,9,Public district,523, 6-8, Bronx, 10472
286,Hellenic Classical Charter School,9,Public charter,478, K-8, Brooklyn, 11215
287,Baccalaureate School for Global Education,9,Public district,539, 7-12, Queens, 11106
288,Smithtown High School East,9,Public district,"1,575", 9-12, Saint James, 11780
289,YORKVILLE EAST MIDDLE SCHOOL,9,Public district,233, 6-8, New York, 10075
290,Calkins Road Middle School,9,Public district,665, 6-8, Pittsford, 14534
291,Success Academy Harlem 1,9,Public charter,"1,184", K-4, New York, 10026
292,South Bronx Classical Charter School,9,Public charter,497, K-8, Bronx, 10459
293,Columbia Secondary School,9,Public district,703, 6-12, New York, 10027
294,Washington Heights Academy,9,Public district,575, PK-8, New York, 10034
295,Bell Academy,9,Public district,374, 6-8, Queens, 11360
296,Nyc Ischool,9,Public district,458, 9-12, New York, 10013
297,Special Music School,9,Public district,313, K-12, New York, 10023
298,P.S. 682 The Academy of Talented Scholars,9,Public district,378, K-5, Brooklyn, 11204
299,Brooklyn School Of Inquiry,9,Public district,566, K-8, Brooklyn, 11204
300,Bard High School Early College Queens,9,Public district,622, 9-12, Queens, 11101
301,Success Academy Charter School-Harlem 4,9,Public charter,580, K-4, New York, 10026
302,Success Academy Charter School-Harlem 3,9,Public charter,941, K-4, New York, 10029
303,Academic Leadership Charter School,9,Public charter,506, K-8, Bronx, 10454
304,Icahn Charter School 3,9,Public charter,320, K-8, Bronx, 10461
305,Success Academy Bronx 1,9,Public charter,702, K-8, Bronx, 10451
306,University Heights Secondary School-Bronx Community College,9,Public district,486, 9-12, Bronx, 10455
307,Success Academy Charter School-Harlem 5,9,Public charter,806, K-4, New York, 10030
308,Carl C. Icahn Charter School 4,9,Public charter,320, K-8, Bronx, 10461
309,Success Academy Upper West,9,Public charter,737, K-7, New York, 10024
310,Success Academy Bed-Stuy 1,9,Public charter,692, K-7, Brooklyn, 11206
311,Success Academy Cobble Hill,9,Public charter,412, K-4, Brooklyn, 11201
312,Peck Slip School (The),9,Public district,438, PK-5, New York, 10038
313,Success Academy Union Square,9,Public charter,621, K-4, New York, 10003
314,Success Academy - Fort Greene,9,Public charter,374, K-4, Brooklyn, 11205
315,Beginning with Children Charter II,9,Public charter,343, K-6, Brooklyn, 11206
316,Success Academy Crown Heights,9,Public charter,578, K-4, Brooklyn, 11225
317,Canarsie Ascend Charter School,9,Public charter,680, K-5, Brooklyn, 11236
318,Achievement First North Brooklyn Prep Charter School,9,Public charter,419, K-4, Brooklyn, 11221
319,Central Queens Academy Charter School,9,Public charter,403, 5-8, Queens, 11373
320,South Bronx Classical Charter Ii,9,Public charter,314, K-5, Bronx, 10459
321,Walton Avenue School (The),9,Public district,519, K-5, Bronx, 10452
322,30TH AVENUE SCHOOL (THE),9,Public district,444, K-4, Queens, 11102
323,Amagansett School,9,Public district,107, PK-6, East Hampton, 11937
324,Ardsley High School,9,Public district,677, 9-12, Ardsley, 10502
325,Ardsley Middle School,9,Public district,694, 5-8, Ardsley, 10502
326,Bayport Blue Point High School,9,Public district,743, 9-12, Bayport, 11705
327,Beaver River Middle School,9,Public district,189, 6-8, Castorland, 13620
328,Bethlehem Central Senior High School,9,Public district,"1,604", 9-12, Delmar, 12054
329,Bethpage Senior High School,9,Public district,970, 9-12, Bethpage, 11714
330,Charles Campagne School,9,Public district,425, K-5, Old Bethpage, 11804
331,Briarcliff High School,9,Public district,551, 9-12, Briarcliff Manor, 10510
332,Todd Elementary School,9,Public district,519, K-5, Briarcliff Manor, 10510
333,Briarcliff Middle School,9,Public district,359, 6-8, Briarcliff Manor, 10510
334,Brighton High School,9,Public district,"1,136", 9-12, Rochester, 14618
335,Twelve Corners Middle School,9,Public district,925, 6-8, Rochester, 14618
336,Bronxville Elementary School,9,Public district,719, K-5, Bronxville, 10708
337,Bronxville High School,9,Public district,523, 9-12, Bronxville, 10708
338,City Honors School At Fosdick Masten Park,9,Public district,"1,078", 5-12, Buffalo, 14204
339,Byram Hills High School,9,Public district,799, 9-12, North Castle, 10504
340,H C Crittenden Middle School,9,Public district,527, 6-8, Armonk, 10504
341,Spackenkill High School,9,Public district,489, 9-12, Poughkeepsie, 12603
342,Horace Greeley High School,9,Public district,"1,301", 9-12, Chappaqua, 10514
343,Robert E Bell School,9,Public district,611, 5-8, Chappaqua, 10514
344,Chazy Central Rural Elementary School,9,Public district,245, K-6, Chazy, 12921
345,Clarence Senior High School,9,Public district,"1,454", 9-12, Clarence, 14031
346,Ledgeview Elementary School,9,Public district,484, K-5, Clarence, 14031
347,Sheridan Hill Elementary School,9,Public district,482, K-5, Buffalo, 14221
348,Lloyd Harbor School,9,Public district,367, 2-6, Lloyd Harbor, 11743
349,Commack High School,9,Public district,"2,244", 9-12, Commack, 11725
350,East Aurora High School,9,Public district,641, 9-12, East Aurora, 14052
351,Red Mill School,9,Public district,389, K-5, Rensselaer, 12144
352,Clarke Middle School,9,Public district,606, 6-8, Westbury, 11590
353,Barnum Woods School,9,Public district,748, K-5, East Meadow, 11554
354,Meadowbrook Elementary School,9,Public district,399, K-5, East Meadow, 11554
355,Parkway School,9,Public district,481, PK-5, East Meadow, 11554
356,North Side School,9,Public district,574, K-4, East Williston, 11596
357,Anne Hutchinson School,9,Public district,439, 2-5, Eastchester, 10709
358,Eastchester Senior High School,9,Public district,947, 9-12, Eastchester, 10709
359,Seely Place School,9,Public district,539, K-6, Scarsdale, 10583
360,Edgemont Junior Senior High School,9,Public district,949, 7-12, Scarsdale, 10583
361,Greenville School,9,Public district,525, K-6, Scarsdale, 10583
362,Stewart Manor School,8,Public district,354, PK-6, Stewart Manor, 11530
363,Elwood Middle School,8,Public district,570, 6-8, Elwood, 11731
364,Elwood John Glenn High School,8,Public district,722, 9-12, Elwood, 11731
365,Fairport Senior High School,8,Public district,"1,469", 10-12, Fairport, 14450
366,Floral Park Bellerose School,8,Public district,886, PK-6, Floral Park, 11001
367,Bayview Avenue School,8,Public district,593, K-4, Freeport, 11520
368,Pinehurst Elementary School,8,Public district,675, K-5, Lake View, 14085
369,Stewart School,8,Public district,572, 2-5, Garden City, 11530
370,Garrison School,8,Public district,212, K-8, Philipstown, 10524
371,C J Hooker Middle School,8,Public district,702, 6-8, Goshen, 10924
372,Great Neck North Middle School,8,Public district,800, 6-8, Great Neck, 11023
373,Great Neck South High School,8,Public district,"1,221", 9-12, Lake Success, 11020
374,Griffith Institute High School,8,Public district,587, 9-12, Springville, 14141
375,Guilderland High School,8,Public district,"1,566", 9-12, Altamont, 12009
376,Pine Bush Elementary School,8,Public district,411, K-5, Schenectady, 12303
377,Candlewood Middle School,8,Public district,779, 6-8, Dix Hills, 11746
378,Half Hollow Hills High School West,8,Public district,"1,325", 9-12, Dix Hills, 11746
379,Otsego Elementary School,8,Public district,567, K-5, Dix Hills, 11746
380,Paumanok Elementary School,8,Public district,549, K-5, Dix Hills, 11746
381,Signal Hill Elementary School,8,Public district,667, K-5, Dix Hills, 11746
382,Vanderbilt Elementary School,8,Public district,675, K-5, Dix Hills, 11746
383,West Hollow Middle School,8,Public district,"1,154", 6-8, Melville, 11747
384,Armor Elementary School,8,Public district,355, K-5, Hamburg, 14075
385,Charlotte Avenue Elementary School,8,Public district,389, PK-5, Hamburg, 14075
386,Hamburg High School,8,Public district,"1,125", 9-12, Hamburg, 14075
387,Harborfields High School,8,Public district,"1,101", 9-12, Greenlawn, 11740
388,Harrison Avenue Elementary School,8,Public district,556, K-5, Harrison, 10528
389,Harrison High School,8,Public district,"1,075", 9-12, Harrison, 10528
390,Samuel J Preston School,8,Public district,329, K-5, Harrison, 10604
391,Farragut Middle School,8,Public district,517, 5-8, Hastings-on-Hudson, 10706
392,Hastings High School,8,Public district,510, 9-12, Hastings-on-Hudson, 10706
393,Searingtown School,8,Public district,538, K-5, Albertson, 11507
394,Woodland Avenue School,8,Public district,322, K-5, Hicksville, 11801
395,Hilton High School,8,Public district,"1,440", 9-12, Hilton, 14468
396,Honeoye Falls Lima Middle School,8,Public district,520, 6-8, Honeoye Falls, 14472
397,Big Flats School,8,Public district,377, PK-4, Big Flats, 14814
398,Gardner Road Elementary School,8,Public district,426, PK-4, Horseheads, 14845
399,Indian Lake Central School,8,Public district,122, PK-12, Indian Lake, 12842
400,Iroquois Middle School,8,Public district,548, 6-8, Elma, 14059
401,Iroquois Senior High School,8,Public district,737, 9-12, Elma, 14059
402,Wales Primary School,8,Public district,244, K-4, East Aurora, 14052
403,Iroquois Middle School,8,Public district,401, 4-6, Rochester, 14617
404,Main Street School School (4 5),8,Public district,272, 4-5, Irvington, 10533
405,Irvington High School,8,Public district,546, 9-12, Irvington, 10533
406,Irvington Middle School,8,Public district,411, 6-8, Irvington, 10533
407,Island Trees Middle School,8,Public district,695, 5-8, Levittown, 11756
408,Michael F Stokes School,8,Public district,450, 2-4, Levittown, 11756
409,Dewitt Middle School,8,Public district,460, 6-8, Ithaca, 14850
410,John Jay Middle School,8,Public district,749, 6-8, South Salem, 10590
411,Kings Park High School,8,Public district,"1,131", 9-12, Kings Park, 11754
412,William T Rogers Middle School,8,Public district,771, 6-8, Kings Park, 11754
413,Lake George Junior/Senior High School,8,Public district,451, 7-12, Lake George, 12845
414,George Washington Elementary School,8,Public district,404, K-5, Mohegan Lake, 10547
415,Lakeland High School,8,Public district,989, 9-12, Shrub Oak, 10588
416,Lincoln Titus Elementary School,8,Public district,424, PK-5, Crompond, 10517
417,Walter Panas High School,8,Public district,918, 9-12, Cortlandt, 10567
418,Lancaster High School,8,Public district,"1,903", 9-12, Lancaster, 14086
419,Lansing High School,8,Public district,336, 9-12, Lansing, 14882
420,Division Avenue Senior High School,8,Public district,985, 9-12, Levittown, 11756
421,Gen Douglas Macarthur Senior High School,8,Public district,"1,227", 9-12, Wantagh, 11793
422,Lewiston Porter Senior High School,8,Public district,686, 9-12, Youngstown, 14174
423,Lynbrook Senior High School,8,Public district,891, 9-12, Lynbrook, 11563
424,Maine Endwell Senior High School,8,Public district,742, 9-12, Endwell, 13760
425,Davison Avenue Intermediate School,8,Public district,391, 3-5, Lynbrook, 11563
426,Shelter Rock Elementary School,8,Public district,732, K-6, Manhasset, 11030
427,Eagle Hill Middle School,8,Public district,660, 5-8, Manlius, 13104
428,C S Driver Middle School,8,Public district,626, 4-8, Marcellus, 13108
429,Marcellus High School,8,Public district,544, 9-12, Marcellus, 13108
430,Birch Lane Elementary School,8,Public district,618, K-5, Massapequa Park, 11762
431,Massapequa High School,8,Public district,"1,695", 10-12, Massapequa, 11758
432,Menands School,8,Public district,262, K-8, Menands, 12204
433,Chatterton School,8,Public district,408, K-6, Merrick, 11566
434,Norman J Levy Lakeside School,8,Public district,538, K-6, Merrick, 11566
435,Mount Sinai High School,8,Public district,782, 9-12, Mount Sinai, 11766
436,Nanuet Senior High School,8,Public district,731, 9-12, Nanuet, 10954
437,Clarkstown North Senior High School,8,Public district,"1,329", 9-12, New City, 10956
438,Clarkstown South Senior High School,8,Public district,"1,372", 9-12, West Nyack, 10994
439,Laurel Plains Elementary School,8,Public district,361, K-5, New City, 10956
440,Strawtown Elementary School,8,Public district,299, K-5, West Nyack, 10994
441,Perry Junior High School,8,Public district,586, 7-9, New Hartford, 13413
442,Garden City Park School,8,Public district,280, K-6, Garden City Park, 11040
443,Daniel Webster Elementary School,8,Public district,497, K-5, New Rochelle, 10801
444,Brooklyn College Academy,8,Public district,622, 9-12, Brooklyn, 11218
445,Leon M Goldstein High School For The Sciences,8,Public district,"1,011", 9-12, Brooklyn, 11235
446,Queens Gateway To Health Sciences Secondary School,8,Public district,690, 6-12, Queens, 11432
447,Is 72 Rocco Laurie,8,Public district,"1,407", 6-8, Staten Island, 10314
448,Jhs 383 Philippa Schuyler,8,Public district,869, 5-8, Brooklyn, 11237
