,school,rating,type,students,grades,city,zip,state,zipcode,returns,single_returns,joint_returns,hoh_returns,agi,total_income,educator_expense_amount,returns_itemized,charitable_contributions
145,New Hyde Park Road School,9,Public district,538, K-6, New Hyde Park,11040,NY,11040.0,21640.0,9740.0,9870.0,1550.0,2267337.0,2295863.0,223.0,12120.0,50228.0
146,Manhattan Village Academy,9,Public district,455, 9-12, New York,10010,NY,10010.0,17540.0,12730.0,3700.0,680.0,4252196.0,4308450.0,55.0,11150.0,65766.0
147,Ps 290 Manhattan New School,9,Public district,628, PK-5, New York,10028,NY,10028.0,25540.0,16600.0,7230.0,910.0,10544654.0,10676779.0,122.0,16490.0,400266.0
148,I.S. 187 The Christa Mcauliffe School,9,Public district,874, 6-8, Brooklyn,11219,NY,11219.0,33810.0,12390.0,17280.0,3730.0,1664409.0,1687679.0,176.0,5000.0,154756.0
149,Is 7 Elias Bernstein,9,Public district,"1,166", 6-8, Staten Island,10312,NY,10312.0,29460.0,13430.0,12240.0,3150.0,2470899.0,2493363.0,441.0,16050.0,42519.0
150,Is 25 Adrien Block,9,Public district,"1,027", 6-8, Queens,11358,NY,11358.0,19360.0,9490.0,7490.0,2010.0,1175411.0,1190724.0,131.0,6530.0,16611.0
151,Is 34 Tottenville,9,Public district,"1,090", 6-8, Staten Island,10307,NY,10307.0,6620.0,3100.0,2660.0,700.0,727966.0,734710.0,107.0,3630.0,10965.0
152,Is 237,9,Public district,"1,363", 6-8, Queens,11355,NY,11355.0,52130.0,27660.0,18480.0,5250.0,1511883.0,1534466.0,64.0,6120.0,13150.0
153,Ps 9 Sarah Anderson,9,Public district,618, PK-5, New York,10024,NY,10024.0,30540.0,18220.0,9780.0,1630.0,12001303.0,12182779.0,150.0,19690.0,402974.0
154,Ps 11 Purvis J Behan,9,Public district,893, PK-5, Brooklyn,11238,NY,11238.0,31680.0,21070.0,5730.0,4090.0,3020929.0,3068519.0,215.0,13960.0,42266.0
